Hour,Temperature(°C),Humidity(%),Wind speed (m/s),Visibility (10m),Dew point temperature(°C),Solar Radiation (MJ/m2),Rainfall(mm),Snowfall (cm),Seasons,Holiday,Bikes
18,2,77,1.3,2000,-1.6,0.07,0,0,2,1,615
14,21,28,2.8,1191,1.7,2.75,0,0,2,1,965
12,20,47,1.4,685,8.3,3.08,0,0,2,1,1161
2,21.8,97,1.3,175,21.2,0,1,0,2,1,78
19,32.7,56,2.2,2000,22.7,0.33,0,0,3,1,1972
6,1.4,42,1.7,2000,-10.1,0,0,0,2,1,209
0,8.3,59,2.1,1912,0.7,0,0,0,2,1,401
21,22.2,57,1.2,2000,13.2,0,0,0,4,1,1820
7,20,77,1.7,595,15.8,0.29,0,0,3,1,1629
21,-3,50,3.7,1301,-11.9,0,0,0,2,1,212
2,-7.5,65,3.9,2000,-12.9,0,0,1,1,1,75
20,22.6,51,1.3,2000,11.9,0.06,0,0,3,1,2441
21,13,49,1,1702,2.5,0,0,0,4,1,1158
3,18.8,93,1,419,17.6,0,5.4,0,3,1,154
6,-2.8,73,0.7,1906,-6.9,0,0,0,1,1,120
21,19.2,50,1.5,842,8.5,0,0,0,2,1,1213
3,6.5,69,0.3,1981,1.2,0,0,0,4,1,225
15,31.1,57,3.7,1912,21.5,2.03,0,0,3,1,1038
15,21.8,76,1.4,2000,17.3,1.2,0,0,4,1,1288
12,-1.6,33,2.5,1874,-15.8,1.18,0,0,1,1,221
9,10.4,60,1.3,1326,2.9,0.99,0,0,4,1,921
18,17.9,16,3.7,2000,-8.3,0.92,0,0,2,1,2359
16,12,61,3.6,1374,4.6,0.57,0,0,2,1,124
7,28.2,68,0.5,1748,21.7,0.27,0,0,3,1,1061
0,0.5,34,0.4,1889,-13.5,0,0,0,2,1,218
17,19.4,45,2.9,778,7.1,1.13,0,0,2,1,1460
21,23.8,48,2,2000,12.1,0,0,0,3,1,1702
10,32.4,54,0.9,1631,21.8,1.45,0,0,3,1,610
7,1.6,81,1.4,393,-1.3,0,0,0,1,1,97
12,23.2,50,2.2,1988,12.1,2.45,0,0,3,1,1442
19,1.3,25,1.3,2000,-16.6,0,0,0,1,1,223
1,-2,72,0.8,979,-6.3,0,0,2.6,1,1,122
7,17,60,1.1,1993,9.1,0.47,0,0,3,1,583
21,1.2,92,0.7,1474,0,0,0.5,0,2,1,231
22,30.4,45,1.6,2000,17.1,0,0,0,3,1,1406
23,26.2,84,1,1646,23.2,0,0,0,3,1,1439
2,-12.5,50,1,1722,-20.8,0,0,0,1,1,83
7,16.8,73,1,1366,11.9,0.01,0,0,2,1,1033
14,27.1,72,3,1126,21.6,0.91,0,0,3,1,1030
1,11.1,62,0.2,666,4,0,0,0,4,1,547
0,15.5,97,1.5,181,15,0,0.5,0,2,1,145
0,-1.8,87,1.1,994,-3.6,0,0,0,1,1,328
14,11.6,70,1.5,388,6.3,0.45,0,0,4,1,600
1,19.5,83,1.5,1459,16.5,0,0,0,4,1,875
7,18.2,54,1.2,2000,8.7,0.42,0,0,3,1,410
21,-2,83,1.2,904,-4.5,0,0.1,2.4,1,1,197
17,2.8,46,2.1,858,-7.6,0.14,0,0,1,1,416
19,34.9,47,2.4,2000,21.9,0.42,0,0,3,1,1865
9,13.5,79,1.9,382,9.9,0.2,0,0,2,1,757
23,-6.7,36,1.3,1821,-19.3,0,0,0,1,1,144
13,34.1,45,1.5,1993,20.4,2.57,0,0,3,1,830
20,25.3,89,0.3,745,23.3,0,0,0,3,1,908
15,23.2,83,1.5,349,20.1,0.77,0.5,0,4,1,222
11,34.1,40,1.5,1947,18.5,2.8,0,0,3,1,583
18,1.7,64,1.3,1140,-4.3,0,0,0.8,1,1,531
8,21.3,57,1.3,2000,12.4,0.81,0,0,4,1,576
20,-0.3,79,1.5,1913,-3.5,0,0,0,1,1,426
10,14,58,1.6,841,5.8,1.53,0,0,4,1,842
19,11.2,46,1.4,869,0,0,0,0,4,1,1448
3,9.9,27,1.3,2000,-8.2,0,0,0,2,1,167
10,27,37,1.2,1962,11,2.32,0,0,3,1,769
7,-9.6,67,1,1503,-14.5,0,0,0,1,1,255
21,30.4,66,1.6,2000,23.3,0,0,0,3,1,1851
22,21.8,65,0.3,2000,14.9,0,0,0,4,1,0
3,21.9,88,0.9,274,19.8,0,0,0,3,1,625
14,18.6,46,4.4,1664,6.7,2.14,0,0,2,1,698
7,-6.5,57,0.8,1776,-13.6,0,0,0,1,1,387
12,20.5,97,1.8,257,20,0.15,5,0,3,1,10
9,7.1,61,0.5,1493,0,0.57,0,0,4,1,1019
